"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Isbel, Kyle","664728","42","14.8",26.2,"107.1","84.2","95.8","91.1","82.8","401","137","401","8",19,"1",2.4,1.7
"Adell, Jo","666176","42","14.3",33.3,"111.7","90.4","101.5","90.4","91.9","408","156","395","19",45.2,"5",11.9,8.1
"Walls, Taylor","670764","41","12",19.5,"102.8","87.3","96","91","86.4","354","121",,"11",26.8,"0",0,0
"Dingler, Dillon","693307","41","18.5",43.9,"110.4","91.8","101.1","94.3","87.8","410","195","395","20",48.8,"4",9.8,6.8
"Smith, Will","669257","41","25.9",41.5,"105.5","89.4","98.3","91.3","89.6","396","195","383","17",41.5,"4",9.8,5.7
"Pages, Andy","681624","41","18.8",31.7,"107","86.5","94.9","90.3","81.3","390","186","378","12",29.3,"2",4.9,2.7
"Amaya, Miguel","665804","41","18.8",41.5,"105.8","88.4","98","90.2","86","393","176","386","13",31.7,"3",7.3,5.7
"O'Neill, Tyler","641933","41","23.8",26.8,"108","87.9","101.5","95.6","81.6","402","188","387","17",41.5,"7",17.1,10.8
"Muncy, Max","571970","41","13.4",46.3,"108.6","90.8","102.2","97.5","78.9","399","184",,"21",51.2,"6",14.6,7.6
"Urshela, Gio","570482","41","6.7",39,"103.5","88.5","98.1","93.6","83.9","399","146",,"16",39,"1",2.4,1.8
"Call, Alex","669743","41","10.8",34.1,"107.9","88.3","96.9","90.8","86.4","380","161",,"12",29.3,"1",2.4,1.8
"Raley, Luke","670042","41","7.6",31.7,"114.3","90.1","103.9","91.3","89.4","398","143","378","19",46.3,"6",14.6,8.7
"McCutchen, Andrew","457705","41","7.6",22,"106.3","91.4","100.2","97.2","89","393","142","393","20",48.8,"3",7.3,5
"Torrens, Luis","620443","41","5.7",36.6,"107.6","91.9","101.7","93.5","90.6","398","157","398","24",58.5,"7",17.1,12.5
"Torres, Gleyber","650402","41","12.4",34.1,"108","89.2","98.1","93.8","83.2","380","171","379","15",36.6,"2",4.9,4.1
